"name_in_file","transition_name"
"# inta_00_cp_el2p_j3_2__el2p_j1_2 #","I(C+, 158um)"
"# inta_00_o_el3p_j1__el3p_j2 #","I(O, 64um)"
"# inta_00_o_el3p_j0__el3p_j1 #","I(O, 145um)" 
"# inta_00_co_v0_j1__v0_j0 #","I(CO 1-0)" 
"# inta_00_co_v0_j6__v0_j5 #","I(CO 6-5)"
"# inta_00_co_v0_j13__v0_j12 #","I(CO 13-12)" 
"# inta_00_13c_o_j1__j0 #","I(13CO 1-0)" 
"# inta_00_c_18o_j1__j0 #","I(C18O 1-0)" 
"# inta_00_h2_v0_j2__v0_j0 #","I(H2 0,2-0,0)"
"# inta_00_h2_v0_j3__v0_j1 #","I(H2 0,3-0,1)"
"# inta_00_h2_v0_j5__v0_j3 #","I(H2 0,5-0,3)"
"# inta_00_h2_v0_j6__v0_j4 #","I(H2 0,6-0,4)"
"# inta_00_h2_v1_j3__v0_j1 #","I(H2 1,3-0,1)"
"# inta_00_h2_v1_j4__v0_j2 #","I(H2 1,4-0,2)"
"# inta_00_cn_n1_j1d5__n0_j0d5 #","I(CN 1,1.5-0,0.5)"
"# inta_00_cs_j2__j1 #","I(CS 2-1)"
"# inta_00_c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0 #","I(C2H 1,1.5,2-0,0.5,1.0)" 
"# inta_00_hcn_j1_f1__j0_f1 #","I(HCN 1,1-0,1)"
"# inta_00_hcn_j1_f2__j0_f1 #","I(HCN 1,2-0,1)"
"# inta_00_hcn_j1_f0__j0_f1 #","I(HCN 1,0-0,1)"
"# inta_00_hcop_j1__j0 #","I(HCO+ 1-0)"
"# inta_00_hcop_j3__j2 #","I(HCO+ 3-2)"
"# inta_00_hnc_j1__j0 #","I(HNC 1-0)"
"# inta_00_so_n2_j3__n1_j2 #","I(SO 2,3-1,2)"  
"# int_cont_a00_3_1000 #","I(continuum 3-1000um)"